[2025-05-15T05:48:19.883Z] 🔍 Searching for processes using port 5125...
[2025-05-15T05:48:19.910Z] ❌ Error searching for processes: Command failed: lsof -i :5125 -t
/bin/sh: 1: lsof: not found

[2025-05-15T05:48:49.211Z] 🔍 Checking if port 5125 is in use...
[2025-05-15T05:48:49.239Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:49.240Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:49.255Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:50.262Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:50.262Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:50.265Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:51.270Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:51.270Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:51.277Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:52.299Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:52.299Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:52.313Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:53.317Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:53.318Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:53.320Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:54.324Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:54.324Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:54.327Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:55.332Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:55.332Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:55.336Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:56.340Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:56.342Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:56.345Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:57.353Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:57.353Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:57.360Z] ✅ Connected to port 5125, attempting reset...
[2025-05-15T05:48:58.365Z] ❌ Port 5125 is currently in use
[2025-05-15T05:48:58.366Z] 🔧 Attempting to forcibly free port 5125...
[2025-05-15T05:48:58.372Z] ✅ Connected to port 5125, attempting reset...
